sku_id,category,supplier_region,unit_cost,lead_time_weeks
PART-10000,intermittent,NA,658.27,6
PART-10001,slow_moving,NA,813.0,1
PART-10002,seasonal,EMEA,613.78,7
PART-10003,intermittent,NA,1204.86,1
PART-10004,fast_moving,APAC,1711.31,1
PART-10005,seasonal,NA,578.35,1
PART-10006,intermittent,NA,833.53,4
PART-10007,intermittent,EMEA,2326.66,5
PART-10008,fast_moving,NA,130.94,4
PART-10009,slow_moving,EMEA,1157.32,1
PART-10010,slow_moving,APAC,1781.78,2
PART-10011,seasonal,NA,384.63,7
PART-10012,intermittent,APAC,127.96,8
PART-10013,intermittent,APAC,354.13,7
PART-10014,slow_moving,EMEA,2297.87,1
PART-10015,fast_moving,NA,33.06,7
PART-10016,slow_moving,EMEA,478.92,6
PART-10017,fast_moving,EMEA,87.9,5
PART-10018,intermittent,APAC,285.47,2
PART-10019,intermittent,APAC,1554.17,8
PART-10020,intermittent,APAC,611.68,4
PART-10021,slow_moving,APAC,1427.34,1
PART-10022,seasonal,NA,1479.59,2
PART-10023,seasonal,NA,2125.09,4
PART-10024,intermittent,NA,21.81,1
PART-10025,fast_moving,APAC,2134.89,3
PART-10026,slow_moving,APAC,1551.61,4
PART-10027,fast_moving,APAC,415.23,8
PART-10028,fast_moving,EMEA,1934.61,1
PART-10029,intermittent,EMEA,2140.17,5
PART-10030,intermittent,EMEA,643.12,8
PART-10031,seasonal,APAC,2297.8,7
PART-10032,fast_moving,NA,1141.6,8
PART-10033,slow_moving,APAC,1512.53,2
PART-10034,slow_moving,APAC,2461.78,7
PART-10035,fast_moving,NA,910.22,8
PART-10036,fast_moving,NA,2034.77,3
PART-10037,slow_moving,APAC,802.81,4
PART-10038,fast_moving,EMEA,2000.04,5
PART-10039,intermittent,NA,1505.83,4
PART-10040,slow_moving,NA,548.73,3
PART-10041,intermittent,NA,1040.92,8
PART-10042,intermittent,EMEA,800.91,8
PART-10043,fast_moving,EMEA,204.49,4
PART-10044,intermittent,NA,84.29,7
PART-10045,intermittent,APAC,872.73,4
PART-10046,slow_moving,APAC,57.4,7
PART-10047,fast_moving,EMEA,422.06,5
PART-10048,intermittent,NA,1815.71,4
PART-10049,fast_moving,APAC,1773.15,2
PART-10050,fast_moving,EMEA,1849.07,6
PART-10051,fast_moving,EMEA,799.71,3
PART-10052,intermittent,EMEA,2226.15,2
PART-10053,intermittent,NA,1488.64,2
PART-10054,intermittent,APAC,323.81,8
PART-10055,intermittent,NA,367.86,1
PART-10056,slow_moving,EMEA,1735.81,7
PART-10057,slow_moving,NA,440.63,7
PART-10058,fast_moving,EMEA,1273.16,1
PART-10059,fast_moving,APAC,2479.52,5
PART-10060,intermittent,NA,19.98,5
PART-10061,slow_moving,NA,51.28,3
PART-10062,slow_moving,APAC,2482.78,6
PART-10063,intermittent,NA,1465.75,4
PART-10064,intermittent,NA,326.01,4
PART-10065,slow_moving,EMEA,2244.28,4
PART-10066,slow_moving,NA,2202.15,7
PART-10067,fast_moving,EMEA,1345.14,6
PART-10068,fast_moving,EMEA,1558.26,4
PART-10069,slow_moving,APAC,690.24,8
PART-10070,fast_moving,NA,135.79,7
PART-10071,slow_moving,APAC,1490.47,8
PART-10072,seasonal,NA,743.94,6
PART-10073,fast_moving,EMEA,1662.42,4
PART-10074,fast_moving,EMEA,2092.25,7
PART-10075,fast_moving,APAC,55.22,3
PART-10076,fast_moving,NA,1493.33,3
PART-10077,intermittent,APAC,585.89,4
PART-10078,slow_moving,EMEA,2185.98,8
PART-10079,intermittent,NA,641.62,5
PART-10080,intermittent,NA,1530.82,4
PART-10081,slow_moving,NA,1388.32,4
PART-10082,intermittent,NA,996.45,3
PART-10083,fast_moving,EMEA,1697.28,6
PART-10084,fast_moving,APAC,1817.17,3
PART-10085,fast_moving,NA,1421.68,5
PART-10086,intermittent,NA,1898.47,3
PART-10087,slow_moving,NA,2458.71,3
PART-10088,fast_moving,EMEA,1053.99,8
PART-10089,slow_moving,APAC,1291.31,3
PART-10090,fast_moving,EMEA,41.05,1
PART-10091,intermittent,EMEA,1992.11,4
PART-10092,slow_moving,NA,1305.37,5
PART-10093,slow_moving,EMEA,1025.82,1
PART-10094,fast_moving,APAC,244.24,3
PART-10095,intermittent,APAC,2225.24,2
PART-10096,slow_moving,NA,993.57,5
PART-10097,fast_moving,NA,1709.63,6
PART-10098,fast_moving,APAC,381.94,8
PART-10099,seasonal,EMEA,2404.26,4
PART-10100,seasonal,EMEA,454.32,7
PART-10101,intermittent,EMEA,506.86,2
PART-10102,fast_moving,NA,2148.87,7
PART-10103,seasonal,APAC,2282.33,5
PART-10104,intermittent,APAC,538.25,7
PART-10105,intermittent,APAC,1179.8,7
PART-10106,slow_moving,APAC,1836.4,5
PART-10107,fast_moving,NA,2197.13,3
PART-10108,fast_moving,NA,953.84,5
PART-10109,seasonal,APAC,1297.38,7
PART-10110,slow_moving,EMEA,1856.87,8
PART-10111,fast_moving,APAC,1830.53,8
PART-10112,fast_moving,APAC,1959.57,2
PART-10113,slow_moving,APAC,1429.14,5
PART-10114,fast_moving,APAC,270.49,1
PART-10115,seasonal,EMEA,2260.89,6
PART-10116,intermittent,NA,2165.28,8
PART-10117,intermittent,EMEA,1997.26,1
PART-10118,slow_moving,NA,258.66,6
PART-10119,intermittent,EMEA,518.95,8
PART-10120,slow_moving,APAC,1861.56,7
PART-10121,intermittent,APAC,67.62,4
PART-10122,fast_moving,APAC,2448.27,1
PART-10123,slow_moving,APAC,949.09,8
PART-10124,fast_moving,NA,1801.09,8
PART-10125,slow_moving,NA,2220.05,5
PART-10126,fast_moving,NA,992.63,8
PART-10127,fast_moving,EMEA,804.64,1
PART-10128,fast_moving,EMEA,1525.77,5
PART-10129,slow_moving,EMEA,1456.66,1
PART-10130,fast_moving,EMEA,1028.76,8
PART-10131,seasonal,NA,1508.42,6
PART-10132,slow_moving,NA,2339.1,8
PART-10133,fast_moving,NA,1174.42,5
PART-10134,slow_moving,EMEA,499.89,1
PART-10135,fast_moving,APAC,949.24,1
PART-10136,seasonal,NA,991.33,3
PART-10137,slow_moving,EMEA,336.46,6
PART-10138,intermittent,NA,415.55,2
PART-10139,fast_moving,EMEA,1714.56,7
PART-10140,slow_moving,NA,855.3,2
PART-10141,slow_moving,EMEA,2387.7,4
PART-10142,seasonal,NA,616.56,2
PART-10143,slow_moving,NA,256.32,4
PART-10144,slow_moving,APAC,1886.23,4
PART-10145,fast_moving,EMEA,2203.78,1
PART-10146,fast_moving,EMEA,702.5,5
PART-10147,slow_moving,NA,513.2,7
PART-10148,slow_moving,NA,472.56,8
PART-10149,fast_moving,NA,1309.81,3
PART-10150,intermittent,EMEA,1176.36,8
PART-10151,seasonal,EMEA,656.01,8
PART-10152,fast_moving,EMEA,122.48,8
PART-10153,slow_moving,NA,1208.91,3
PART-10154,fast_moving,APAC,2398.74,7
PART-10155,intermittent,EMEA,1634.77,5
PART-10156,fast_moving,APAC,1243.81,1
PART-10157,intermittent,NA,285.62,3
PART-10158,intermittent,EMEA,638.57,6
PART-10159,intermittent,EMEA,743.99,2
PART-10160,fast_moving,EMEA,1914.36,4
PART-10161,seasonal,EMEA,2193.01,7
PART-10162,fast_moving,NA,2255.09,2
PART-10163,fast_moving,EMEA,2461.58,4
PART-10164,slow_moving,EMEA,2456.09,2
PART-10165,slow_moving,APAC,2382.97,5
PART-10166,intermittent,APAC,188.84,2
PART-10167,intermittent,EMEA,353.11,8
PART-10168,fast_moving,NA,768.12,1
PART-10169,seasonal,NA,1386.72,8
PART-10170,fast_moving,EMEA,251.47,7
PART-10171,slow_moving,EMEA,2116.03,7
PART-10172,fast_moving,EMEA,1545.72,7
PART-10173,seasonal,APAC,1360.49,2
PART-10174,fast_moving,APAC,421.63,8
PART-10175,fast_moving,EMEA,640.61,5
PART-10176,slow_moving,APAC,409.18,8
PART-10177,seasonal,APAC,2131.31,8
PART-10178,seasonal,APAC,1464.73,5
PART-10179,intermittent,APAC,1840.47,3
PART-10180,seasonal,EMEA,747.12,1
PART-10181,seasonal,NA,934.42,1
PART-10182,slow_moving,NA,1018.09,4
PART-10183,fast_moving,EMEA,1902.44,7
PART-10184,intermittent,EMEA,1933.16,5
PART-10185,intermittent,APAC,524.97,4
PART-10186,slow_moving,APAC,2354.43,2
PART-10187,fast_moving,EMEA,310.43,5
PART-10188,intermittent,EMEA,2241.34,6
PART-10189,fast_moving,APAC,259.99,8
PART-10190,seasonal,EMEA,668.7,6
PART-10191,fast_moving,APAC,2117.73,5
PART-10192,fast_moving,APAC,456.94,8
PART-10193,intermittent,NA,1039.78,4
PART-10194,fast_moving,EMEA,1130.15,8
PART-10195,fast_moving,EMEA,620.69,3
PART-10196,slow_moving,NA,1778.51,2
PART-10197,seasonal,NA,2129.82,4
PART-10198,fast_moving,NA,2187.69,2
PART-10199,fast_moving,EMEA,854.91,1
PART-10200,intermittent,NA,1331.82,8
PART-10201,seasonal,EMEA,628.53,7
PART-10202,slow_moving,NA,619.54,2
PART-10203,fast_moving,NA,411.52,7
PART-10204,fast_moving,EMEA,2350.65,1
PART-10205,fast_moving,NA,2221.09,3
PART-10206,fast_moving,EMEA,1945.62,6
PART-10207,intermittent,NA,1298.98,3
PART-10208,fast_moving,APAC,1231.61,6
